"time","health"
9760,71.3547022
9765,75.4218712
9770,83.5215056
9775,67.2906339
9780,87.6472546
9785,74.2004681
9790,78.1643747
9795,80.8739118
9800,83.5769546
9805,64.8080539
9810,78.2368826
9815,78.1907357
9820,80.8507828
9825,75.4043679
9830,82.2190601
9835,84.9764712
9840,93.1696619
9845,72.7154954
9850,86.1965613
9855,79.5739408
9860,78.2112892
9865,87.7554761
9870,80.8483588
9875,74.0510184
9880,79.4173605
9885,80.8690436
9890,81.0001517
9895,78.0669905
9900,79.5310865
9905,82.2355736
9910,83.6279293
9915,66.0082571
9920,79.5351467
9925,83.595983
9930,80.9161904
9935,80.8928594
9940,76.7853712
9945,72.8640765
9950,86.430851
9955,70.0125435
9960,72.7326755
9965,76.7819675
9970,67.3693331
9975,69.980375
9980,78.2211165
9985,74.0970744
9990,82.3286855
9995,78.0728889
10000,71.4205845
10005,78.2458615
10010,79.5045538
10015,89.0536796
10020,74.1590177
10025,76.7670902
10030,83.5331812
10035,80.9045552
10040,87.5921288
10045,72.8465126
10050,79.5731631
10055,75.416902
10060,78.132893
10065,75.4390917
10070,82.2430274
10075,68.5740813
10080,75.5207805
10085,80.8665994
10090,85.0591498
10095,71.4082625
10100,79.5070485
10105,79.5070485
10110,70.0391065
10115,76.8595658
10120,76.8595658
10125,85.0105385
10130,80.8458944
10135,82.3208782
10140,82.3208782
10145,83.6451801
10150,75.514569
10155,75.514569
10160,80.8755884
10165,79.5492463
10170,74.2041748
10175,74.2041748
10180,83.6965184
10185,72.8043754
10190,70.118947
10195,82.3625508
10200,82.3625508
10205,82.4640659
10210,82.3987593
10215,82.3987593
10220,87.7883819
10225,74.1176279
10230,71.4378858
10235,75.6098827
10240,78.2813327
10245,87.9630614
10250,81.1469148
10255,85.1743908
10260,75.6584738
10265,89.2672138
10270,74.2767433
10275,79.7751934
10280,72.997447
10285,68.9534474
10290,85.2899348
10295,74.360846
10300,67.5818371
10305,77.1134192
10310,86.5009248
10315,90.6324611
10320,90.6902028
10325,77.0409719
10330,85.1275268
10335,91.9231704
10340,93.2808225
10345,83.8216473
10350,82.5316652
10355,81.1154735
10360,90.6554083
10365,79.6977668
10370,69.8776479
10375,74.2974483
10380,76.937053
10385,79.7239864
10390,72.8777418
10395,89.2755261
10400,86.5009955
10405,86.4695542
10410,87.8650308
10415,76.9254279
10420,75.6501312
10425,72.8843876
10430,71.3589139
10435,86.4754728
